"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"GP","F","Age-Muy Joven","U","GT3","T","Medu-E5toA9no","Fedu-E5toA9no","services","services","home","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","yes","no","no","no","yes","yes","no","FamR-Muy Malo","FreeT-Bajo",2,1,3,5,6,10,11,12
"GP","M","Age-Muy Joven","U","GT3","T","Medu-E5toA9no","Fedu-E5toA9no","other","other","home","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Bajo",2,1,2,5,8,11,12,12
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-E5toA9no","health","services","other","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","no","no","no","yes","yes","yes","no","FamR-Malo","FreeT-Bajo",4,2,4,1,0,11,11,11
"GP","M","Age-Muy Joven","U","LE3","A","Medu-ESecundaria","Fedu-ESuperior","services","other","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","yes","yes","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Medio",3,1,1,5,2,12,12,13
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","teacher","teacher","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","yes","yes","yes","yes","yes","yes","FamR-Muy Bueno","FreeT-Alto",5,5,5,5,4,12,11,12
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","health","services","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","yes","no","no","yes","yes","no","FamR-Excelente","FreeT-Alto",2,3,4,5,0,10,11,11
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","services","services","reputation","mother","TvlT-Medio","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",1,1,1,5,2,15,15,15
"GP","M","Age-Muy Joven","R","GT3","T","Medu-ESuperior","Fedu-ESecundaria","teacher","at_home","course","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","yes","FamR-Muy Bueno","FreeT-Muy Alto",2,1,1,5,0,13,14,15
"GP","M","Age-Muy Joven","U","LE3","T","Medu-ESecundaria","Fedu-ESecundaria","other","other","course","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","no","no","yes","no","yes","yes","no","FamR-Excelente","FreeT-Medio",2,1,1,2,0,13,12,12
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-E5toA9no","other","other","home","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","yes","no","no","no","yes","yes","no","FamR-Excelente","FreeT-Alto",3,1,1,5,4,12,12,12
"GP","F","Age-Muy Joven","U","GT3","T","Medu-E5toA9no","Fedu-ESecundaria","other","other","other","father","TvlT-Medio","StuT-Bajo","Fail-Ninguno","no","yes","no","yes","yes","yes","no","no","FamR-Bueno","FreeT-Muy Alto",1,1,1,5,4,11,11,11
"GP","M","Age-Muy Joven","U","LE3","T","Medu-ESuperior","Fedu-ESecundaria","teacher","services","home","mother","TvlT-Bajo","StuT-Alto","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Alto",3,1,1,4,0,14,14,14
"GP","M","Age-Muy Joven","R","GT3","A","Medu-ESuperior","Fedu-ESuperior","other","teacher","reputation","mother","TvlT-Medio","StuT-Alto","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","yes","FamR-Malo","FreeT-Alto",3,1,1,5,4,13,13,13
"GP","F","Age-Muy Joven","R","GT3","T","Medu-ESecundaria","Fedu-ESuperior","services","health","course","mother","TvlT-Bajo","StuT-Alto","Fail-Ninguno","yes","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",2,1,1,5,2,11,12,12
"GP","F","Age-Muy Joven","R","GT3","T","Medu-E5toA9no","Fedu-E5toA9no","at_home","other","reputation","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","yes","yes","no","yes","yes","yes","no","no","FamR-Muy Bueno","FreeT-Medio",1,1,1,2,8,14,13,12
"GP","F","Age-Muy Joven","U","LE3","T","Medu-E5toA9no","Fedu-E5toA9no","other","other","home","mother","TvlT-Medio","StuT-Medio","Fail-Ninguno","no","yes","no","yes","no","yes","yes","yes","FamR-Bueno","FreeT-Medio",3,1,2,3,16,11,11,10
"GP","M","Age-Muy Joven","U","LE3","T","Medu-ESuperior","Fedu-ESuperior","teacher","other","home","other","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","yes","no","no","no","yes","yes","yes","FamR-Excelente","FreeT-Alto",3,2,4,5,8,10,11,11
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","services","teacher","course","father","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",3,1,1,5,0,14,15,15
"GP","M","Age-Muy Joven","U","GT3","T","Medu-E5toA9no","Fedu-E5toA9no","services","services","course","father","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","yes","yes","no","no","yes","yes","yes","no","FamR-Excelente","FreeT-Alto",1,1,1,1,0,9,10,10
"GP","F","Age-Muy Joven","U","LE3","T","Medu-E5toA9no","Fedu-E5toA9no","other","at_home","course","father","TvlT-Medio","StuT-Medio","Fail-Muy Bajo","yes","no","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",3,2,2,5,14,10,11,11
"GP","F","Age-Muy Joven","U","LE3","A","Medu-ESuperior","Fedu-ESecundaria","other","other","course","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","yes","yes","yes","yes","yes","yes","yes","FamR-Excelente","FreeT-Bajo",2,1,1,5,4,10,11,11
"GP","F","Age-Muy Joven","U","LE3","A","Medu-ESecundaria","Fedu-ESecundaria","other","services","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Malo","FreeT-Medio",5,1,4,3,6,13,12,13
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESecundaria","health","services","reputation","mother","TvlT-Bajo","StuT-Muy Alto","Fail-Ninguno","no","no","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Bajo",2,1,1,2,2,17,17,17
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-E5toA9no","teacher","other","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","no","no","FamR-Muy Bueno","FreeT-Medio",3,2,2,5,4,11,12,13
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","services","teacher","other","father","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","yes","no","yes","no","yes","yes","no","FamR-Muy Bueno","FreeT-Alto",4,1,1,3,2,13,12,12
"GP","F","Age-Muy Joven","U","LE3","T","Medu-E5toA9no","Fedu-E5toA9no","services","services","course","mother","TvlT-Alto","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",3,2,3,4,0,14,13,13
"GP","F","Age-Muy Joven","U","LE3","T","Medu-ESuperior","Fedu-E5toA9no","health","other","other","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",3,1,1,5,0,16,14,16
"GP","M","Age-Muy Joven","U","LE3","A","Medu-ESuperior","Fedu-E5toA9no","health","health","other","father","TvlT-Medio","StuT-Bajo","Fail-Ninguno","no","no","no","no","yes","yes","no","no","FamR-Excelente","FreeT-Muy Alto",5,3,4,5,4,10,9,9
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","services","services","course","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","yes","yes","no","no","yes","yes","yes","no","FamR-Bueno","FreeT-Medio",4,2,3,5,0,13,12,12
"GP","F","Age-Muy Joven","U","LE3","A","Medu-ESecundaria","Fedu-ESecundaria","other","other","other","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","no","no","no","yes","yes","yes","no","FamR-Excelente","FreeT-Medio",4,4,4,1,0,13,12,13
"GP","F","Age-Muy Joven","U","GT3","A","Medu-E5toA9no","Fedu-EPrimaria","other","other","other","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","no","no","yes","yes","yes","yes","yes","FamR-Excelente","FreeT-Medio",4,1,1,2,2,12,13,12
"GP","F","Age-Muy Joven","U","GT3","A","Medu-ESuperior","Fedu-ESecundaria","services","services","reputation","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",2,1,1,1,0,15,14,15
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","teacher","health","reputation","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","no","no","FamR-Bueno","FreeT-Bajo",2,1,1,5,8,15,15,16
"GP","M","Age-Muy Joven","U","LE3","T","Medu-EPrimaria","Fedu-E5toA9no","other","at_home","home","father","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",2,1,1,5,0,14,13,14
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-E5toA9no","services","other","course","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","yes","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Bajo",3,1,1,5,2,16,15,16
"GP","F","Age-Muy Joven","R","GT3","T","Medu-ESuperior","Fedu-ESuperior","health","teacher","other","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","no","no","FamR-Malo","FreeT-Alto",4,2,3,4,0,17,16,16
"GP","F","Age-Muy Joven","U","GT3","T","Medu-EPrimaria","Fedu-EPrimaria","services","services","course","father","TvlT-Muy Alto","StuT-Bajo","Fail-Ninguno","yes","yes","no","yes","no","yes","yes","yes","FamR-Excelente","FreeT-Muy Alto",5,5,5,5,0,10,10,16
"GP","F","Age-Muy Joven","U","LE3","T","Medu-EPrimaria","Fedu-E5toA9no","other","services","reputation","father","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","no","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Alto",3,1,1,1,0,13,13,10
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESecundaria","teacher","health","home","mother","TvlT-Bajo","StuT-Alto","Fail-Ninguno","yes","yes","no","yes","yes","yes","yes","no","FamR-Bueno","FreeT-Alto",4,2,4,4,0,14,13,13
"GP","F","Age-Muy Joven","U","LE3","T","Medu-ESuperior","Fedu-ESecundaria","services","services","reputation","father","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","no","no","yes","yes","yes","yes","yes","FamR-Muy Bueno","FreeT-Alto",4,2,4,2,0,13,12,12
"GP","F","Age-Muy Joven","U","LE3","T","Medu-ESuperior","Fedu-ESecundaria","teacher","services","course","mother","TvlT-Alto","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Alto",3,1,2,1,2,16,15,16
"GP","M","Age-Muy Joven","U","GT3","A","Medu-ESuperior","Fedu-ESuperior","other","services","reputation","mother","TvlT-Bajo","StuT-Muy Alto","Fail-Ninguno","no","yes","no","yes","no","yes","yes","yes","FamR-Muy Malo","FreeT-Medio",3,5,5,3,0,11,12,12
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-EPrimaria","services","other","course","mother","TvlT-Bajo","StuT-Muy Alto","Fail-Ninguno","yes","yes","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",3,1,2,5,0,10,9,10
"GP","F","Age-Muy Joven","R","LE3","T","Medu-E5toA9no","Fedu-E5toA9no","health","services","reputation","mother","TvlT-Medio","StuT-Medio","Fail-Ninguno","yes","yes","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Muy Bajo",3,1,3,4,0,11,10,11
"GP","F","Age-Muy Joven","R","LE3","T","Medu-ESecundaria","Fedu-EPrimaria","other","other","reputation","father","TvlT-Medio","StuT-Muy Alto","Fail-Ninguno","no","yes","no","no","no","yes","yes","no","FamR-Muy Bueno","FreeT-Alto",2,2,3,3,6,15,15,15
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-EPrimaria","other","other","reputation","father","TvlT-Medio","StuT-Muy Alto","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",2,1,1,5,2,13,11,11
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-E5toA9no","other","other","course","mother","TvlT-Bajo","StuT-Muy Alto","Fail-Ninguno","no","no","no","no","yes","yes","yes","no","FamR-Bueno","FreeT-Medio",3,1,1,3,0,11,9,10
"GP","F","Age-Muy Joven","R","GT3","T","Medu-EPrimaria","Fedu-EPrimaria","other","other","reputation","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","yes","no","no","no","yes","yes","yes","FamR-Bueno","FreeT-Medio",4,2,4,5,2,13,11,11
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-EPrimaria","other","other","reputation","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","no","no","yes","yes","yes","no","no","FamR-Excelente","FreeT-Medio",2,2,2,5,0,13,13,14
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-ESecundaria","other","services","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",3,2,4,5,4,11,11,11
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESecundaria","teacher","other","home","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",3,2,3,5,0,11,11,11
"GP","M","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ENinguna","teacher","other","course","mother","TvlT-Medio","StuT-Muy Alto","Fail-Ninguno","no","no","no","yes","yes","yes","yes","no","FamR-Bueno","FreeT-Alto",3,1,1,1,0,12,11,11
"GP","F","Age-Muy Joven","U","GT3","T","Medu-E5toA9no","Fedu-E5toA9no","other","other","reputation","mother","TvlT-Bajo","StuT-Muy Alto","Fail-Ninguno","no","no","no","no","yes","yes","yes","yes","FamR-Excelente","FreeT-Bajo",3,1,3,3,1,13,13,13
"GP","M","Age-Joven","U","GT3","T","Medu-E5toA9no","Fedu-EPrimaria","other","other","home","mother","TvlT-Medio","StuT-Bajo","Fail-Alto","yes","yes","no","yes","yes","no","yes","no","FamR-Muy Bueno","FreeT-Muy Alto",1,1,1,3,0,9,9,10
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-ESuperior","at_home","other","course","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Malo","FreeT-Alto",3,1,2,3,14,12,11,11
"GP","M","Age-Muy Joven","U","GT3","T","Medu-E5toA9no","Fedu-ESecundaria","other","services","course","father","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","yes","yes","no","yes","no","yes","yes","yes","FamR-Bueno","FreeT-Bajo",2,1,3,3,0,11,11,12
"GP","M","Age-Muy Joven","U","GT3","T","Medu-E5toA9no","Fedu-ESecundaria","other","other","home","mother","TvlT-Bajo","StuT-Alto","Fail-Ninguno","yes","no","no","no","no","yes","yes","no","FamR-Excelente","FreeT-Medio",2,1,2,5,2,10,9,9
"GP","F","Age-Muy Joven","U","LE3","T","Medu-ESecundaria","Fedu-E5toA9no","services","other","reputation","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Alto",4,1,1,5,4,12,11,11
"GP","M","Age-Muy Joven","U","LE3","T","Medu-E5toA9no","Fedu-E5toA9no","services","services","home","mother","TvlT-Medio","StuT-Medio","Fail-Ninguno","no","no","yes","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Medio",3,1,3,4,2,13,12,13
"GP","F","Age-Muy Joven","U","GT3","T","Medu-EPrimaria","Fedu-EPrimaria","other","other","home","father","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","yes","no","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",2,2,3,4,2,13,12,12
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESuperior","services","services","reputation","father","TvlT-Medio","StuT-Medio","Fail-Ninguno","no","no","no","no","yes","yes","yes","yes","FamR-Muy Bueno","FreeT-Alto",4,2,3,5,4,12,11,12
"GP","F","Age-Muy Joven","U","LE3","T","Medu-E5toA9no","Fedu-E5toA9no","at_home","other","course","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","no","no","FamR-Muy Bueno","FreeT-Medio",4,1,2,2,6,13,11,11
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-E5toA9no","other","other","reputation","mother","TvlT-Bajo","StuT-Alto","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Medio",3,1,3,1,4,15,15,15
"GP","M","Age-Muy Joven","U","GT3","T","Medu-E5toA9no","Fedu-E5toA9no","services","other","reputation","father","TvlT-Medio","StuT-Medio","Fail-Ninguno","no","no","no","yes","no","yes","yes","no","FamR-Muy Bueno","FreeT-Alto",2,1,1,3,6,12,10,11
"GP","M","Age-Muy Joven","U","LE3","A","Medu-ESuperior","Fedu-ESuperior","teacher","health","reputation","mother","TvlT-Bajo","StuT-Medio","Fail-Ninguno","no","yes","no","no","yes","yes","no","no","FamR-Muy Bueno","FreeT-Muy Bajo",3,3,5,5,6,9,9,10
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESecundaria","Fedu-ESecundaria","other","other","home","mother","TvlT-Bajo","StuT-Alto","Fail-Ninguno","no","yes","no","no","yes","yes","yes","yes","FamR-Muy Bueno","FreeT-Medio",3,1,3,4,2,9,11,11
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-ESecundaria","services","other","reputation","mother","TvlT-Bajo","StuT-Bajo","Fail-Ninguno","no","no","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Muy Alto",5,1,3,1,6,14,13,13
"GP","F","Age-Muy Joven","U","LE3","T","Medu-ESecundaria","Fedu-EPrimaria","other","other","home","father","TvlT-Bajo","StuT-Medio","Fail-Ninguno","yes","yes","no","no","yes","yes","no","no","FamR-Bueno","FreeT-Medio",3,2,3,2,0,12,13,12
"GP","F","Age-Muy Joven","U","GT3","T","Medu-ESuperior","Fedu-E5toA9no","teacher","services","home","mother","TvlT-Medio","StuT-Medio","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Excelente","FreeT-Medio",3,1,1,1,2,13,14,14
"GP","M","Age-Muy Joven","U","LE3","T","Medu-E5toA9no","Fedu-E5toA9no","services","health","reputation","mother","TvlT-Bajo","StuT-Muy Alto","Fail-Ninguno","no","yes","no","yes","yes","yes","yes","no","FamR-Muy Bueno","FreeT-Medio",4,1,1,4,2,11,12,12
"GP","F","Age-Muy Joven","R","GT3","T","Medu-EPrimaria","Fedu-EPrimaria","at_home","other","home","mother","TvlT-Medio","StuT-Muy Alto","Fail-Ninguno","yes","yes","yes","yes","yes","yes","yes","no","FamR-Bueno","FreeT-Muy Bajo",2,1,1,1,4,13,13,13
"GP","M","Age-Muy Joven","R","GT3","T","Medu-ESuperior","Fedu-ESecundaria","services","other","reputation","mother","TvlT-Medio","StuT-Bajo","Fail-Ninguno","yes","yes","yes","yes","no","yes","yes","no","FamR-Bueno","FreeT-Medio",3,1,1,4,6,9,11,11
